ORF,plate,date,row,col,class,proba
YFL007W,add4,4/26/12,7,21,0,1.00000,0.00000
YDR502C,add4,4/26/12,7,22,0,1.00000,0.00000
YOR301W,add4,4/26/12,7,23,0,1.00000,0.00000
YFR030W,add4,4/26/12,8,2,0,1.00000,0.00000
YPL023C,add4,4/26/12,8,5,0,1.00000,0.00000
YOR028C,add4,4/26/12,8,7,0,1.00000,0.00000
YFL042C,add4,4/26/12,8,8,0,1.00000,0.00000
YOR233W,add4,4/26/12,8,9,0,1.00000,0.00000
YNL130C,add4,4/26/12,8,10,0,1.00000,0.00000
YNR029C,add4,4/26/12,8,11,0,1.00000,0.00000
YPL219W,add4,4/26/12,8,12,0,1.00000,0.00000
YOR166C,add4,4/26/12,8,13,0,1.00000,0.00000
YER007W,add4,4/26/12,8,14,0,1.00000,0.00000
YJL215C,add4,4/26/12,8,15,0,1.00000,0.00000
YDL025C,add4,4/26/12,8,16,0,1.00000,0.00000
YNL293W,add4,4/26/12,8,17,0,1.00000,0.00000
YEL017W,add4,4/26/12,8,18,0,1.00000,0.00000
YMR027W,add4,4/26/12,8,19,1,0.15671,0.84329
YDL035C,add4,4/26/12,8,20,1,0.00000,1.00000
YFL003C,add4,4/26/12,8,21,0,1.00000,0.00000
YPR066W,add4,4/26/12,8,22,0,1.00000,0.00000
YIL089W,add4,4/26/12,8,23,0,1.00000,0.00000
YDL180W,add4,4/26/12,9,2,0,0.99963,0.00037
YMR303C,add4,4/26/12,9,3,0,1.00000,0.00000
YOR079C,add4,4/26/12,9,5,0,1.00000,0.00000
YER117W,add4,4/26/12,9,6,0,1.00000,0.00000
YPL166W,add4,4/26/12,9,7,0,1.00000,0.00000
YBR007C,add4,4/26/12,9,8,0,1.00000,0.00000
YNL257C,add4,4/26/12,9,9,0,1.00000,0.00000
YEL052W,add4,4/26/12,9,10,0,1.00000,0.00000
YJL192C,add4,4/26/12,9,12,0,1.00000,0.00000
YBR013C,add4,4/26/12,9,13,0,1.00000,0.00000
YOR251C,add4,4/26/12,9,14,1,0.00073,0.99927
YPL241C,add4,4/26/12,9,15,0,1.00000,0.00000
YNL201C,add4,4/26/12,9,16,0,1.00000,0.00000
YHR048W,add4,4/26/12,9,17,0,1.00000,0.00000
YJL212C,add4,4/26/12,9,18,0,1.00000,0.00000
YDL181W,add4,4/26/12,9,19,0,1.00000,0.00000
YOR226C,add4,4/26/12,9,20,0,1.00000,0.00000
YGL132W,add4,4/26/12,9,21,0,1.00000,0.00000
YOR163W,add4,4/26/12,9,22,0,1.00000,0.00000
